"train_step","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss__MAX","qwen1.5b-rl-sft-grpo-epoch_2 - _step","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MAX"
"108","0.00039380788803100586","0.00039380788803100586","0.00039380788803100586","119","119","119"
"109","-0.00003102980554103851","-0.00003102980554103851","-0.00003102980554103851","120","120","120"
"110","0.0007632113993167877","0.0007632113993167877","0.0007632113993167877","121","121","121"
"111","0.0017296522855758667","0.0017296522855758667","0.0017296522855758667","123","123","123"
"112","0.0022852011024951935","0.0022852011024951935","0.0022852011024951935","124","124","124"
"113","0.0008904337882995605","0.0008904337882995605","0.0008904337882995605","125","125","125"
"114","0.0029459521174430847","0.0029459521174430847","0.0029459521174430847","126","126","126"
"115","0.0004912503063678741","0.0004912503063678741","0.0004912503063678741","127","127","127"
"116","0.0008328203111886978","0.0008328203111886978","0.0008328203111886978","128","128","128"
"117","0.000003855500835925341","0.000003855500835925341","0.000003855500835925341","129","129","129"
"118","0.0010012760758399963","0.0010012760758399963","0.0010012760758399963","130","130","130"
"119","0.0011807391420006752","0.0011807391420006752","0.0011807391420006752","131","131","131"
"120","0.0030527226626873016","0.0030527226626873016","0.0030527226626873016","132","132","132"
"121","332.00028681755066","332.00028681755066","332.00028681755066","134","134","134"
"122","0.012050893157720566","0.012050893157720566","0.012050893157720566","135","135","135"
"123","0.0018421337008476257","0.0018421337008476257","0.0018421337008476257","136","136","136"
"124","0.005129698663949966","0.005129698663949966","0.005129698663949966","137","137","137"
"125","0.0009475536644458771","0.0009475536644458771","0.0009475536644458771","138","138","138"
"126","-0.00011511892080307007","-0.00011511892080307007","-0.00011511892080307007","139","139","139"
"127","0.0011405199766159058","0.0011405199766159058","0.0011405199766159058","140","140","140"
"128","0.002278946340084076","0.002278946340084076","0.002278946340084076","141","141","141"
"129","0.003356926143169403","0.003356926143169403","0.003356926143169403","142","142","142"
"130","0.00009056925773620605","0.00009056925773620605","0.00009056925773620605","143","143","143"
