"train_step","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss_std","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss_std__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train/loss_std__MAX","qwen1.5b-rl-sft-grpo-epoch_2 - _step","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MAX"
"0","0.0007267244509421289","0.0007267244509421289","0.0007267244509421289","0","0","0"
"1","0.000017284344721701927","0.000017284344721701927","0.000017284344721701927","2","2","2"
"2","0.00011804526002379134","0.00011804526002379134","0.00011804526002379134","3","3","3"
"3","0.0007951314910314977","0.0007951314910314977","0.0007951314910314977","4","4","4"
"4","0.0007778492290526628","0.0007778492290526628","0.0007778492290526628","5","5","5"
"5","0.0006377495592460036","0.0006377495592460036","0.0006377495592460036","6","6","6"
"6","0.0003027384518645704","0.0003027384518645704","0.0003027384518645704","7","7","7"
"7","0.00030995914130471647","0.00030995914130471647","0.00030995914130471647","8","8","8"
"8","0.00032108896994031966","0.00032108896994031966","0.00032108896994031966","9","9","9"
"9","0.000019106088075204752","0.000019106088075204752","0.000019106088075204752","10","10","10"
"10","0.000023200987925520167","0.000023200987925520167","0.000023200987925520167","11","11","11"
"11","0.0011564003070816398","0.0011564003070816398","0.0011564003070816398","13","13","13"
"12","0.0001349576486973092","0.0001349576486973092","0.0001349576486973092","14","14","14"
"13","0.0013496330939233303","0.0013496330939233303","0.0013496330939233303","15","15","15"
"14","0.0006460529984906316","0.0006460529984906316","0.0006460529984906316","16","16","16"
"15","0.0005433878395706415","0.0005433878395706415","0.0005433878395706415","17","17","17"
"16","0.0006447628838941455","0.0006447628838941455","0.0006447628838941455","18","18","18"
"17","0.0005337763577699661","0.0005337763577699661","0.0005337763577699661","19","19","19"
"18","0.00024237792240455747","0.00024237792240455747","0.00024237792240455747","20","20","20"
"19","0.00004199605973553844","0.00004199605973553844","0.00004199605973553844","21","21","21"
"20","0.0009092990658245981","0.0009092990658245981","0.0009092990658245981","22","22","22"
"21","0.000977400690317154","0.000977400690317154","0.000977400690317154","24","24","24"
"22","0.0013851122930645943","0.0013851122930645943","0.0013851122930645943","25","25","25"
"23","0.00023485298152081668","0.00023485298152081668","0.00023485298152081668","26","26","26"
"24","0.00009710941230878234","0.00009710941230878234","0.00009710941230878234","27","27","27"
"25","0.0006146644009277225","0.0006146644009277225","0.0006146644009277225","28","28","28"
"26","0.0022172650787979364","0.0022172650787979364","0.0022172650787979364","29","29","29"
"27","0.0020270899403840303","0.0020270899403840303","0.0020270899403840303","30","30","30"
"28","0.0010971789015457034","0.0010971789015457034","0.0010971789015457034","31","31","31"
"29","0.0009916870621964335","0.0009916870621964335","0.0009916870621964335","32","32","32"
"30","0.0007411675760522485","0.0007411675760522485","0.0007411675760522485","33","33","33"
