"Step","qwen1.5b-rl-sft-grpo-epoch_2 - train_rewards_std","qwen1.5b-rl-sft-grpo-epoch_2 - train_rewards_std__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train_rewards_std__MAX"
"0","0.17433346807956696","0.17433346807956696","0.17433346807956696"
"2","0.1634024679660797","0.1634024679660797","0.1634024679660797"
"3","0.19412322342395782","0.19412322342395782","0.19412322342395782"
"4","0.19412322342395782","0.19412322342395782","0.19412322342395782"
"5","0.24253562092781067","0.24253562092781067","0.24253562092781067"
"6","0.17433346807956696","0.17433346807956696","0.17433346807956696"
"7","0.17433346807956696","0.17433346807956696","0.17433346807956696"
"8","0.12426253408193588","0.12426253408193588","0.12426253408193588"
"9","0.1634024679660797","0.1634024679660797","0.1634024679660797"
"10","0.22781464457511902","0.22781464457511902","0.22781464457511902"
"11","0.19412322342395782","0.19412322342395782","0.19412322342395782"
"13","0.2920515537261963","0.2920515537261963","0.2920515537261963"
"14","0.40019527077674866","0.40019527077674866","0.40019527077674866"
"15","0.34422317147254944","0.34422317147254944","0.34422317147254944"
"16","0.3483152687549591","0.3483152687549591","0.3483152687549591"
"17","0.34422317147254944","0.34422317147254944","0.34422317147254944"
"18","0.3710577189922333","0.3710577189922333","0.3710577189922333"
"19","0.38467901945114136","0.38467901945114136","0.38467901945114136"
"20","0.38467901945114136","0.38467901945114136","0.38467901945114136"
"21","0.3222736418247223","0.3222736418247223","0.3222736418247223"
"22","0.33575254678726196","0.33575254678726196","0.33575254678726196"
"24","0.4445854723453522","0.4445854723453522","0.4445854723453522"
"25","0.41420844197273254","0.41420844197273254","0.41420844197273254"
"26","0.38137954473495483","0.38137954473495483","0.38137954473495483"
"27","0.39721766114234924","0.39721766114234924","0.39721766114234924"
"28","0.42924636602401733","0.42924636602401733","0.42924636602401733"
"29","0.41420844197273254","0.41420844197273254","0.41420844197273254"
"30","0.42443734407424927","0.42443734407424927","0.42443734407424927"
"31","0.3879109025001526","0.3879109025001526","0.3879109025001526"
"32","0.4611765742301941","0.4611765742301941","0.4611765742301941"
"33","0.3400367498397827","0.3400367498397827","0.3400367498397827"
"35","0.42443734407424927","0.42443734407424927","0.42443734407424927"
"36","0.45421501994132996","0.45421501994132996","0.45421501994132996"
"37","0.41684433817863464","0.41684433817863464","0.41684433817863464"
"38","0.4404313564300537","0.4404313564300537","0.4404313564300537"
"39","0.408773273229599","0.408773273229599","0.408773273229599"
"40","0.4611765742301941","0.4611765742301941","0.4611765742301941"
"41","0.45048993825912476","0.45048993825912476","0.45048993825912476"
"42","0.45048993825912476","0.45048993825912476","0.45048993825912476"
"43","0.39721766114234924","0.39721766114234924","0.39721766114234924"
"44","0.39417868852615356","0.39417868852615356","0.39417868852615356"
"46","0.4445854723453522","0.4445854723453522","0.4445854723453522"
"47","0.4404313564300537","0.4404313564300537","0.4404313564300537"
"48","0.39721766114234924","0.39721766114234924","0.39721766114234924"
"49","0.4485645592212677","0.4485645592212677","0.4485645592212677"
"50","0.44659659266471863","0.44659659266471863","0.44659659266471863"
"51","0.45777595043182373","0.45777595043182373","0.45777595043182373"
"52","0.4795927405357361","0.4795927405357361","0.4795927405357361"
"53","0.49282535910606384","0.49282535910606384","0.49282535910606384"
"54","0.4382871091365814","0.4382871091365814","0.4382871091365814"
"55","0.4115184545516968","0.4115184545516968","0.4115184545516968"
"57","0.4611765742301941","0.4611765742301941","0.4611765742301941"
"58","0.4771590530872345","0.4771590530872345","0.4771590530872345"
"59","0.4485645592212677","0.4485645592212677","0.4485645592212677"
"60","0.47458380460739136","0.47458380460739136","0.47458380460739136"
"61","0.4732423722743988","0.4732423722743988","0.4732423722743988"
"62","0.44659659266471863","0.44659659266471863","0.44659659266471863"
"63","0.49542948603630066","0.49542948603630066","0.49542948603630066"
"64","0.4879522919654846","0.4879522919654846","0.4879522919654846"
"65","0.4611765742301941","0.4611765742301941","0.4611765742301941"
"66","0.48404380679130554","0.48404380679130554","0.48404380679130554"
"68","0.45949608087539673","0.45949608087539673","0.45949608087539673"
"69","0.47458380460739136","0.47458380460739136","0.47458380460739136"
"70","0.4485645592212677","0.4485645592212677","0.4485645592212677"
"71","0.48507124185562134","0.48507124185562134","0.48507124185562134"
"72","0.46899911761283875","0.46899911761283875","0.46899911761283875"
"73","0.47458380460739136","0.47458380460739136","0.47458380460739136"
"74","0.4611765742301941","0.4611765742301941","0.4611765742301941"
"75","0.4732423722743988","0.4732423722743988","0.4732423722743988"
"76","0.49600115418434143","0.49600115418434143","0.49600115418434143"
"77","0.41942712664604187","0.41942712664604187","0.41942712664604187"
"79","0.49209436774253845","0.49209436774253845","0.49209436774253845"
"80","0.48404380679130554","0.48404380679130554","0.48404380679130554"
"81","0.48884618282318115","0.48884618282318115","0.48884618282318115"
"82","0.48884618282318115","0.48884618282318115","0.48884618282318115"
"83","0.5004287362098694","0.5004287362098694","0.5004287362098694"
"84","0.4905354082584381","0.4905354082584381","0.4905354082584381"
"85","0.4991260766983032","0.4991260766983032","0.4991260766983032"
"86","0.48884618282318115","0.48884618282318115","0.48884618282318115"
"87","0.48404380679130554","0.48404380679130554","0.48404380679130554"
"88","0.4732423722743988","0.4732423722743988","0.4732423722743988"
"90","0.48404380679130554","0.48404380679130554","0.48404380679130554"
"91","0.45949608087539673","0.45949608087539673","0.45949608087539673"
"92","0.48507124185562134","0.48507124185562134","0.48507124185562134"
"93","0.48404380679130554","0.48404380679130554","0.48404380679130554"
"94","0.4771590530872345","0.4771590530872345","0.4771590530872345"
"95","0.48970717191696167","0.48970717191696167","0.48970717191696167"
"96","0.47588926553726196","0.47588926553726196","0.47588926553726196"
"97","0.49705013632774353","0.49705013632774353","0.49705013632774353"
"98","0.5","0.5","0.5"
"99","0.47458380460739136","0.47458380460739136","0.47458380460739136"
"101","0.4905354082584381","0.4905354082584381","0.4905354082584381"
"102","0.4795927405357361","0.4795927405357361","0.4795927405357361"
"103","0.48606500029563904","0.48606500029563904","0.48606500029563904"
"104","0.48702529072761536","0.48702529072761536","0.48702529072761536"
"105","0.47588926553726196","0.47588926553726196","0.47588926553726196"
"106","0.4935242533683777","0.4935242533683777","0.4935242533683777"
"107","0.48298245668411255","0.48298245668411255","0.48298245668411255"
"108","0.4795927405357361","0.4795927405357361","0.4795927405357361"
"109","0.4771590530872345","0.4771590530872345","0.4771590530872345"
"110","0.48404380679130554","0.48404380679130554","0.48404380679130554"
"112","0.40597182512283325","0.40597182512283325","0.40597182512283325"
"113","0.45601576566696167","0.45601576566696167","0.45601576566696167"
"114","0.46899911761283875","0.46899911761283875","0.46899911761283875"
"115","0.45421501994132996","0.45421501994132996","0.45421501994132996"
"116","0.4807571768760681","0.4807571768760681","0.4807571768760681"
"117","0.48298245668411255","0.48298245668411255","0.48298245668411255"
"118","0.5005970597267151","0.5005970597267151","0.5005970597267151"
