"train_step","qwen1.5b-rl-sft-grpo-epoch_2 - train/grad_norm","qwen1.5b-rl-sft-grpo-epoch_2 - train/grad_norm__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train/grad_norm__MAX","qwen1.5b-rl-sft-grpo-epoch_2 - _step","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MAX"
"118","1.2275390625","1.2275390625","1.2275390625","130","130","130"
"119","2.22705078125","2.22705078125","2.22705078125","131","131","131"
"120","0.8525390625","0.8525390625","0.8525390625","132","132","132"
"121","14811137.175292969","14811137.175292969","14811137.175292969","134","134","134"
"122","401.9619140625","401.9619140625","401.9619140625","135","135","135"
"123","2.623046875","2.623046875","2.623046875","136","136","136"
"124","64.07421875","64.07421875","64.07421875","137","137","137"
"125","0.500732421875","0.500732421875","0.500732421875","138","138","138"
"126","1.42724609375","1.42724609375","1.42724609375","139","139","139"
"127","1.775390625","1.775390625","1.775390625","140","140","140"
"128","3.51806640625","3.51806640625","3.51806640625","141","141","141"
"129","5.1640625","5.1640625","5.1640625","142","142","142"
"130","1.12890625","1.12890625","1.12890625","143","143","143"
