"train_step","qwen1.5b-rl-sft-grpo-epoch_2 - train/grad_norm","qwen1.5b-rl-sft-grpo-epoch_2 - train/grad_norm__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train/grad_norm__MAX","qwen1.5b-rl-sft-grpo-epoch_2 - _step","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - _step__MAX"
"0","0.0019731521606445312","0.0019731521606445312","0.0019731521606445312","0","0","0"
"1","0.002445220947265625","0.002445220947265625","0.002445220947265625","2","2","2"
"2","0.002872467041015625","0.002872467041015625","0.002872467041015625","3","3","3"
"3","0.00374603271484375","0.00374603271484375","0.00374603271484375","4","4","4"
"4","0.00342559814453125","0.00342559814453125","0.00342559814453125","5","5","5"
"5","0.00339508056640625","0.00339508056640625","0.00339508056640625","6","6","6"
"6","0.003993988037109375","0.003993988037109375","0.003993988037109375","7","7","7"
"7","0.00258636474609375","0.00258636474609375","0.00258636474609375","8","8","8"
"8","0.003368377685546875","0.003368377685546875","0.003368377685546875","9","9","9"
"9","0.0059356689453125","0.0059356689453125","0.0059356689453125","10","10","10"
"10","0.0057373046875","0.0057373046875","0.0057373046875","11","11","11"
"11","0.01031494140625","0.01031494140625","0.01031494140625","13","13","13"
"12","0.012054443359375","0.012054443359375","0.012054443359375","14","14","14"
"13","0.014373779296875","0.014373779296875","0.014373779296875","15","15","15"
"14","0.01900482177734375","0.01900482177734375","0.01900482177734375","16","16","16"
"15","0.0153045654296875","0.0153045654296875","0.0153045654296875","17","17","17"
"16","0.0142364501953125","0.0142364501953125","0.0142364501953125","18","18","18"
"17","0.02349853515625","0.02349853515625","0.02349853515625","19","19","19"
"18","0.02191162109375","0.02191162109375","0.02191162109375","20","20","20"
"19","0.01873779296875","0.01873779296875","0.01873779296875","21","21","21"
"20","0.016754150390625","0.016754150390625","0.016754150390625","22","22","22"
"21","0.02880859375","0.02880859375","0.02880859375","24","24","24"
"22","0.0280303955078125","0.0280303955078125","0.0280303955078125","25","25","25"
"23","0.021820068359375","0.021820068359375","0.021820068359375","26","26","26"
"24","0.026611328125","0.026611328125","0.026611328125","27","27","27"
"25","0.03369140625","0.03369140625","0.03369140625","28","28","28"
"26","0.04022216796875","0.04022216796875","0.04022216796875","29","29","29"
"27","0.034149169921875","0.034149169921875","0.034149169921875","30","30","30"
"28","0.0445556640625","0.0445556640625","0.0445556640625","31","31","31"
"29","0.04656982421875","0.04656982421875","0.04656982421875","32","32","32"
"30","0.024993896484375","0.024993896484375","0.024993896484375","33","33","33"
"31","0.03985595703125","0.03985595703125","0.03985595703125","35","35","35"
"32","0.05560302734375","0.05560302734375","0.05560302734375","36","36","36"
"33","0.04766845703125","0.04766845703125","0.04766845703125","37","37","37"
"34","0.05615234375","0.05615234375","0.05615234375","38","38","38"
"35","0.05487060546875","0.05487060546875","0.05487060546875","39","39","39"
"36","0.04766845703125","0.04766845703125","0.04766845703125","40","40","40"
"37","0.0460205078125","0.0460205078125","0.0460205078125","41","41","41"
"38","0.05999755859375","0.05999755859375","0.05999755859375","42","42","42"
"39","0.047576904296875","0.047576904296875","0.047576904296875","43","43","43"
"40","0.0595703125","0.0595703125","0.0595703125","44","44","44"
"41","0.0517578125","0.0517578125","0.0517578125","46","46","46"
"42","0.04779052734375","0.04779052734375","0.04779052734375","47","47","47"
"43","0.04296875","0.04296875","0.04296875","48","48","48"
"44","0.173828125","0.173828125","0.173828125","49","49","49"
"45","0.0565185546875","0.0565185546875","0.0565185546875","50","50","50"
"46","0.0704345703125","0.0704345703125","0.0704345703125","51","51","51"
"47","0.0780029296875","0.0780029296875","0.0780029296875","52","52","52"
"48","0.07537841796875","0.07537841796875","0.07537841796875","53","53","53"
"49","0.0496826171875","0.0496826171875","0.0496826171875","54","54","54"
"50","0.1114501953125","0.1114501953125","0.1114501953125","55","55","55"
"51","0.0667724609375","0.0667724609375","0.0667724609375","57","57","57"
"52","0.06060791015625","0.06060791015625","0.06060791015625","58","58","58"
"53","0.064544677734375","0.064544677734375","0.064544677734375","59","59","59"
"54","0.0736083984375","0.0736083984375","0.0736083984375","60","60","60"
"55","0.08349609375","0.08349609375","0.08349609375","61","61","61"
"56","0.08465576171875","0.08465576171875","0.08465576171875","62","62","62"
"57","0.10198974609375","0.10198974609375","0.10198974609375","63","63","63"
"58","0.1044921875","0.1044921875","0.1044921875","64","64","64"
"59","0.1265869140625","0.1265869140625","0.1265869140625","65","65","65"
"60","0.140380859375","0.140380859375","0.140380859375","66","66","66"
"61","0.837646484375","0.837646484375","0.837646484375","68","68","68"
"62","0.08197021484375","0.08197021484375","0.08197021484375","69","69","69"
"63","0.1268310546875","0.1268310546875","0.1268310546875","70","70","70"
"64","0.1243896484375","0.1243896484375","0.1243896484375","71","71","71"
"65","0.097900390625","0.097900390625","0.097900390625","72","72","72"
"66","0.09210205078125","0.09210205078125","0.09210205078125","73","73","73"
"67","0.1103515625","0.1103515625","0.1103515625","74","74","74"
"68","0.0947265625","0.0947265625","0.0947265625","75","75","75"
"69","0.1353759765625","0.1353759765625","0.1353759765625","76","76","76"
"70","0.1103515625","0.1103515625","0.1103515625","77","77","77"
"71","0.281005859375","0.281005859375","0.281005859375","79","79","79"
"72","0.179443359375","0.179443359375","0.179443359375","80","80","80"
"73","0.1441650390625","0.1441650390625","0.1441650390625","81","81","81"
"74","0.1314697265625","0.1314697265625","0.1314697265625","82","82","82"
"75","0.189208984375","0.189208984375","0.189208984375","83","83","83"
"76","0.148193359375","0.148193359375","0.148193359375","84","84","84"
"77","0.232177734375","0.232177734375","0.232177734375","85","85","85"
"78","0.435546875","0.435546875","0.435546875","86","86","86"
"79","0.300537109375","0.300537109375","0.300537109375","87","87","87"
"80","0.2529296875","0.2529296875","0.2529296875","88","88","88"
"81","1.473388671875","1.473388671875","1.473388671875","90","90","90"
"82","0.636474609375","0.636474609375","0.636474609375","91","91","91"
"83","0.3076171875","0.3076171875","0.3076171875","92","92","92"
"84","0.25439453125","0.25439453125","0.25439453125","93","93","93"
"85","0.180419921875","0.180419921875","0.180419921875","94","94","94"
"86","28.287353515625","28.287353515625","28.287353515625","95","95","95"
"87","0.1962890625","0.1962890625","0.1962890625","96","96","96"
"88","0.29638671875","0.29638671875","0.29638671875","97","97","97"
"89","0.413330078125","0.413330078125","0.413330078125","98","98","98"
"90","0.841796875","0.841796875","0.841796875","99","99","99"
"91","0.404541015625","0.404541015625","0.404541015625","101","101","101"
"92","0.79150390625","0.79150390625","0.79150390625","102","102","102"
"93","0.387451171875","0.387451171875","0.387451171875","103","103","103"
"94","6.73046875","6.73046875","6.73046875","104","104","104"
"95","0.180419921875","0.180419921875","0.180419921875","105","105","105"
"96","0.2940673828125","0.2940673828125","0.2940673828125","106","106","106"
"97","0.246337890625","0.246337890625","0.246337890625","107","107","107"
"98","0.164306640625","0.164306640625","0.164306640625","108","108","108"
"99","0.30224609375","0.30224609375","0.30224609375","109","109","109"
"100","0.43896484375","0.43896484375","0.43896484375","110","110","110"
"101","0.307373046875","0.307373046875","0.307373046875","112","112","112"
"102","0.586181640625","0.586181640625","0.586181640625","113","113","113"
"103","4.93212890625","4.93212890625","4.93212890625","114","114","114"
"104","1.187255859375","1.187255859375","1.187255859375","115","115","115"
"105","3.20556640625","3.20556640625","3.20556640625","116","116","116"
"106","0.372314453125","0.372314453125","0.372314453125","117","117","117"
"107","0.49951171875","0.49951171875","0.49951171875","118","118","118"
"108","0.2711181640625","0.2711181640625","0.2711181640625","119","119","119"
"109","0.7265625","0.7265625","0.7265625","120","120","120"
"110","0.54248046875","0.54248046875","0.54248046875","121","121","121"
"111","1.4521484375","1.4521484375","1.4521484375","123","123","123"
"112","4.7666015625","4.7666015625","4.7666015625","124","124","124"
"113","0.72802734375","0.72802734375","0.72802734375","125","125","125"
"114","9.48828125","9.48828125","9.48828125","126","126","126"
"115","0.98876953125","0.98876953125","0.98876953125","127","127","127"
"116","4.5126953125","4.5126953125","4.5126953125","128","128","128"
"117","3.71875","3.71875","3.71875","129","129","129"
