"Step","qwen1.5b-rl-sft-grpo-epoch_2 - mean_token_counts","qwen1.5b-rl-sft-grpo-epoch_2 - mean_token_counts__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - mean_token_counts__MAX"
"134","175.77734375","175.77734375","175.77734375"
"135","185.15625","185.15625","185.15625"
"136","178.3828125","178.3828125","178.3828125"
"137","248.9921875","248.9921875","248.9921875"
"138","216.91015625","216.91015625","216.91015625"
"139","225.94140625","225.94140625","225.94140625"
"140","232.84375","232.84375","232.84375"
"141","220.60546875","220.60546875","220.60546875"
"142","204.296875","204.296875","204.296875"
"143","202.3125","202.3125","202.3125"
