"Step","qwen1.5b-rl-sft-grpo-epoch_2 - train_format_reward_std","qwen1.5b-rl-sft-grpo-epoch_2 - train_format_reward_std__MIN","qwen1.5b-rl-sft-grpo-epoch_2 - train_format_reward_std__MAX"
"0","0.3879109025001526","0.3879109025001526","0.3879109025001526"
"2","0.39721766114234924","0.39721766114234924","0.39721766114234924"
"3","0.40597182512283325","0.40597182512283325","0.40597182512283325"
"4","0.3910769522190094","0.3910769522190094","0.3910769522190094"
"5","0.40019527077674866","0.40019527077674866","0.40019527077674866"
"6","0.38137954473495483","0.38137954473495483","0.38137954473495483"
"7","0.3910769522190094","0.3910769522190094","0.3910769522190094"
"8","0.38467901945114136","0.38467901945114136","0.38467901945114136"
"9","0.40019527077674866","0.40019527077674866","0.40019527077674866"
"10","0.3879109025001526","0.3879109025001526","0.3879109025001526"
"11","0.41684433817863464","0.41684433817863464","0.41684433817863464"
"13","0.5004287362098694","0.5004287362098694","0.5004287362098694"
"14","0.4807571768760681","0.4807571768760681","0.4807571768760681"
"15","0.48970717191696167","0.48970717191696167","0.48970717191696167"
"16","0.49600115418434143","0.49600115418434143","0.49600115418434143"
"17","0.48702529072761536","0.48702529072761536","0.48702529072761536"
"18","0.4994482398033142","0.4994482398033142","0.4994482398033142"
"19","0.4905354082584381","0.4905354082584381","0.4905354082584381"
"20","0.4965413510799408","0.4965413510799408","0.4965413510799408"
"21","0.5008417963981628","0.5008417963981628","0.5008417963981628"
"22","0.5005970597267151","0.5005970597267151","0.5005970597267151"
"24","0.4445854723453522","0.4445854723453522","0.4445854723453522"
"25","0.4425306022167206","0.4425306022167206","0.4425306022167206"
"26","0.4807571768760681","0.4807571768760681","0.4807571768760681"
"27","0.4485645592212677","0.4485645592212677","0.4485645592212677"
"28","0.44659659266471863","0.44659659266471863","0.44659659266471863"
"29","0.4382871091365814","0.4382871091365814","0.4382871091365814"
"30","0.4445854723453522","0.4445854723453522","0.4445854723453522"
"31","0.45949608087539673","0.45949608087539673","0.45949608087539673"
"32","0.41684433817863464","0.41684433817863464","0.41684433817863464"
"33","0.46281784772872925","0.46281784772872925","0.46281784772872925"
"35","0.4268665611743927","0.4268665611743927","0.4268665611743927"
"36","0.4115184545516968","0.4115184545516968","0.4115184545516968"
"37","0.41420844197273254","0.41420844197273254","0.41420844197273254"
"38","0.3745708465576172","0.3745708465576172","0.3745708465576172"
"39","0.41420844197273254","0.41420844197273254","0.41420844197273254"
"40","0.3780107796192169","0.3780107796192169","0.3780107796192169"
"41","0.36746931076049805","0.36746931076049805","0.36746931076049805"
"42","0.4425306022167206","0.4425306022167206","0.4425306022167206"
"43","0.4360972046852112","0.4360972046852112","0.4360972046852112"
"44","0.4445854723453522","0.4445854723453522","0.4445854723453522"
"46","0.408773273229599","0.408773273229599","0.408773273229599"
"47","0.38467901945114136","0.38467901945114136","0.38467901945114136"
"48","0.4219578206539154","0.4219578206539154","0.4219578206539154"
"49","0.3562295734882355","0.3562295734882355","0.3562295734882355"
"50","0.39417868852615356","0.39417868852615356","0.39417868852615356"
"51","0.3638034462928772","0.3638034462928772","0.3638034462928772"
"52","0.36746931076049805","0.36746931076049805","0.36746931076049805"
"53","0.29743078351020813","0.29743078351020813","0.29743078351020813"
"54","0.42924636602401733","0.42924636602401733","0.42924636602401733"
"55","0.38467901945114136","0.38467901945114136","0.38467901945114136"
"57","0.36746931076049805","0.36746931076049805","0.36746931076049805"
"58","0.3910769522190094","0.3910769522190094","0.3910769522190094"
"59","0.38467901945114136","0.38467901945114136","0.38467901945114136"
"60","0.40019527077674866","0.40019527077674866","0.40019527077674866"
"61","0.35231637954711914","0.35231637954711914","0.35231637954711914"
"62","0.33575254678726196","0.33575254678726196","0.33575254678726196"
